"start_offset","end_offset","length"
"0x1DCCC","0x1DCCE","2"
"0x1FA9C","0x1FAA2","6"
"0x1FAA8","0x1FAAC","4"
"0x1FAAE","0x1FAB8","10"
"0x20BCE","0x20BD0","2"
"0x20BD2","0x20BD4","2"
"0x20BE4","0x20BE6","2"
"0x20BE8","0x20BEA","2"
"0x20BF8","0x20BFA","2"
"0x20BFE","0x20C02","4"
"0x20C1C","0x20C1E","2"
"0x20C20","0x20C24","4"
"0x20C2A","0x20C2C","2"
"0x20C2E","0x20C32","4"
"0x20C3E","0x20C40","2"
"0x20C42","0x20C46","4"
"0x20C64","0x20C66","2"
"0x20C68","0x20C6C","4"
"0x20C80","0x20C82","2"
"0x20C84","0x20C88","4"
"0x20C96","0x20C98","2"
"0x20C9A","0x20C9E","4"
"0x20CAC","0x20CAE","2"
"0x20CB0","0x20CB4","4"
"0x20CC2","0x20CC4","2"
"0x20CC6","0x20CCA","4"
"0x20CD8","0x20CDA","2"
"0x20CDC","0x20CE0","4"
"0x20CEC","0x20CEE","2"
"0x20CF0","0x20CF4","4"
"0x20CFE","0x20D00","2"
"0x20D08","0x20D0C","4"
"0x21170","0x21172","2"
"0x21174","0x21176","2"
"0x21180","0x21182","2"
"0x21184","0x21186","2"
"0x21188","0x2118A","2"
"0x2118C","0x21190","4"
"0x2128C","0x2128E","2"
"0x21296","0x21298","2"
"0x2129C","0x2129E","2"
"0x212A0","0x212A2","2"
"0x212AA","0x212AC","2"
"0x212BE","0x212C0","2"
"0x212C6","0x212C8","2"
"0x212CA","0x212D0","6"
"0x212D4","0x212D6","2"
"0x212D8","0x212DA","2"
"0x212E0","0x212E2","2"
"0x212EC","0x212EE","2"
"0x212F0","0x212F2","2"
"0x21308","0x2130A","2"
"0x2130C","0x2130E","2"
"0x21310","0x21312","2"
"0x21314","0x21316","2"
"0x21318","0x2131A","2"
"0x2133A","0x2133E","4"
"0x21340","0x21342","2"
"0x21348","0x2134A","2"
"0x21352","0x21354","2"
"0x2135A","0x2135C","2"
"0x2135E","0x21360","2"
"0x21362","0x21364","2"
"0x2136A","0x2136C","2"
"0x2136E","0x21370","2"
"0x21372","0x21374","2"
"0x21378","0x2137A","2"
"0x2137C","0x2137E","2"
"0x21384","0x21386","2"
"0x21390","0x21392","2"
"0x21394","0x21396","2"
"0x213AC","0x213AE","2"
"0x213B0","0x213B2","2"
"0x213B4","0x213B6","2"
"0x213B8","0x213BA","2"
"0x213BC","0x213BE","2"
"0x213D2","0x213D4","2"
